Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Diabetes ,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Diabetes ,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Diabetes ,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Diabetes ,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Diabetes ,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Diabetes ,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Diabetes ,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Diabetes ,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Diabetes ,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Diabetes ,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Gastroenteritis,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Gastroenteritis,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Gastroenteritis,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Gastroenteritis,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Gastroenteritis,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Gastroenteritis,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Gastroenteritis,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Gastroenteritis,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Gastroenteritis,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Gastroenteritis,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Bronchial Asthma,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Bronchial Asthma,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Bronchial Asthma,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Bronchial Asthma,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Bronchial Asthma,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Bronchial Asthma,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Bronchial Asthma,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Bronchial Asthma,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Bronchial Asthma,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Bronchial Asthma,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Hypertension ,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Hypertension ,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Hypertension ,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Hypertension ,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Hypertension ,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Hypertension ,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Hypertension ,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Hypertension ,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Hypertension ,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Hypertension ,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Migraine,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Migraine,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Migraine,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Migraine,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Migraine,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Migraine,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Migraine,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Migraine,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Migraine,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Migraine,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Cervical spondylosis,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Cervical spondylosis,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Cervical spondylosis,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Cervical spondylosis,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Cervical spondylosis,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Cervical spondylosis,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Cervical spondylosis,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Cervical spondylosis,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Cervical spondylosis,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Cervical spondylosis,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Paralysis (brain hemorrhage),Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Paralysis (brain hemorrhage),Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Paralysis (brain hemorrhage),Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Paralysis (brain hemorrhage),Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Paralysis (brain hemorrhage),Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Paralysis (brain hemorrhage),Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Paralysis (brain hemorrhage),Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Paralysis (brain hemorrhage),Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
Paralysis (brain hemorrhage),Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene,Maintain hygiene
Paralysis (brain hemorrhage),Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water,Drink plenty of water
Jaundice,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication,Take prescribed medication
Jaundice,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens,Avoid allergens
Jaundice,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet,Follow a balanced diet
Jaundice,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest,Get enough rest
Jaundice,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly,Exercise regularly
Jaundice,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear,Wear protective gear
Jaundice,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight,Avoid direct sunlight
Jaundice,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean,Keep surroundings clean
Jaundice,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics,Use antiseptics
Jaundice,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated,Stay hydrated
Malaria,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food,Avoid contaminated food
Malaria,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor,Consult a doctor
Malaria,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements,Take vitamin supplements
Malaria,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments,Use prescribed ointments
Malaria,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress,Reduce stress
Malaria,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene,Practice safe hygiene
